run_date,run_id,canonical_article_id,related_canonical_article_ids,primary_display_section,repeat_exposure_status,published_date_normalized,collected_date_normalized,article_age_days,freshness_bucket,freshness_status,freshness_reason,freshness_score,article_integrity_status,access_status,extracted_city,extracted_state,extracted_market_reason,gp_name,canonical_gp_name,lead_entity,counterparties,entity_extraction_method,entity_extraction_confidence,entity_extraction_reason,residential_sector,activity_type,market_focus,source_categories,source_platform_types,article_count,average_relevance_score,institutional_signal_strength,growth_or_defensive_signal,likely_strategy,potential_implication_for_woomi,recommended_follow_up,strategic_priority_label
2026-06-02,20260602-010310-89150adf,art_e4a7e8fdf3c3fe83,art_e4a7e8fdf3c3fe83,GP / Capital Activity,acceptable_repeat,2026-06-01,2026-06-02,1,fresh_0_3d,current,published date parsed; article age 1 day(s),78,valid,accessible,Atlanta,Georgia,matched city/metro keyword: Atlanta,Harbor Group International,Harbor Group International,Harbor Group International,,dictionary_match,high,"Matched known institutional / GP entity in title, summary, or source text.",Student Housing,acquisition; operational technology / AI adoption,Atlanta / Georgia,Site / Parcel Source Expansion,Other,1,60.0,68,Operational Optimization,operational efficiency push,competitive pressure indicator,track construction innovation strategy,Strategic Watch
2026-06-02,20260602-010310-89150adf,art_f3d0bc40266d9459,art_f3d0bc40266d9459,Article Feed,acceptable_repeat,2026-05-28,2026-06-02,5,recent_4_14d,usable_recent,published date parsed; article age 5 day(s),62,valid,accessible,Las Vegas,Nevada,matched city/metro keyword: Las Vegas,Ballast,Ballast,Ballast,,,,,Apartment,acquisition; operational technology / AI adoption,Las Vegas / Nevada,Core Multifamily News,Other,1,53.0,64,Operational Optimization,operational efficiency push,competitive pressure indicator,track construction innovation strategy,Strategic Watch
2026-06-02,20260602-010310-89150adf,art_f3d0bc40266d9459,art_f3d0bc40266d9459,Article Feed,acceptable_repeat,2026-05-28,2026-06-02,5,recent_4_14d,usable_recent,published date parsed; article age 5 day(s),62,valid,accessible,Las Vegas,Nevada,matched city/metro keyword: Las Vegas,Bascom Group,Bascom Group,Bascom Group,,,,,Apartment,acquisition; operational technology / AI adoption,Las Vegas / Nevada,Core Multifamily News,Other,1,53.0,64,Operational Optimization,operational efficiency push,competitive pressure indicator,track construction innovation strategy,Strategic Watch
2026-06-02,20260602-010310-89150adf,art_f3d0bc40266d9459,art_f3d0bc40266d9459,Article Feed,acceptable_repeat,2026-05-28,2026-06-02,5,recent_4_14d,usable_recent,published date parsed; article age 5 day(s),62,valid,accessible,Las Vegas,Nevada,matched city/metro keyword: Las Vegas,Standard Real Estate Investments,Standard Real Estate Investments,Standard Real Estate Investments,,,,,Apartment,acquisition; operational technology / AI adoption,Las Vegas / Nevada,Core Multifamily News,Other,1,53.0,64,Operational Optimization,operational efficiency push,competitive pressure indicator,track construction innovation strategy,Strategic Watch
2026-06-02,20260602-010310-89150adf,art_5bff164e85001b54,art_5bff164e85001b54,GP / Capital Activity,acceptable_repeat,2026-06-01,2026-06-02,1,fresh_0_3d,current,published date parsed; article age 1 day(s),78,valid,accessible,New York City,New York,matched city/metro keyword: New York City,Avison Young,Avison Young,Avison Young,Freddie Mac,dictionary_match,high,"Matched known institutional / GP entity in title, summary, or source text.",Apartment,disposition / exit; refinancing,New York City / New York,Core Multifamily News,Other,1,99.0,63,Defensive Capital Preservation,stable platform monitoring,capital market sentiment indicator,track refinancing pipeline,Strategic Watch
2026-06-02,20260602-010310-89150adf,art_5bff164e85001b54,art_5bff164e85001b54,GP / Capital Activity,acceptable_repeat,2026-06-01,2026-06-02,1,fresh_0_3d,current,published date parsed; article age 1 day(s),78,valid,accessible,New York City,New York,matched city/metro keyword: New York City,Freddie Mac,Freddie Mac,Freddie Mac,Avison Young,dictionary_match,high,"Matched known institutional / GP entity in title, summary, or source text.",Apartment,disposition / exit; refinancing,New York City / New York,Core Multifamily News,Other,1,99.0,63,Defensive Capital Preservation,stable platform monitoring,capital market sentiment indicator,track refinancing pipeline,Strategic Watch
2026-06-02,20260602-010310-89150adf,art_b552bc82623933f8,art_b552bc82623933f8,Development Activity,repeat_penalized,2026-06-01,2026-06-02,1,fresh_0_3d,current,published date parsed; article age 1 day(s),58,suspicious_duplicate,accessible,San Francisco,California,matched city/metro keyword: San Francisco,MacFarlane Partners,MacFarlane Partners,MacFarlane Partners,Avanath Capital Management,dictionary_match,high,"Matched known institutional / GP entity in title, summary, or source text.",Senior Housing,entitlement; JV / partnership,San Francisco / California,Regional / California / LA Sources,Other,1,79.0,63,Selective Expansion,California entitlement positioning,potential JV partnership signal,monitor JV activity,Strategic Watch
2026-06-02,20260602-010310-89150adf,art_5bff164e85001b54,art_5bff164e85001b54,GP / Capital Activity,acceptable_repeat,2026-06-01,2026-06-02,1,fresh_0_3d,current,published date parsed; article age 1 day(s),78,valid,accessible,New York City,New York,matched city/metro keyword: New York City,PNC Bank,PNC Bank,PNC Bank,Avison Young; Freddie Mac,dictionary_match,high,"Matched known institutional / GP entity in title, summary, or source text.",Apartment,disposition / exit; refinancing,New York City / New York,Core Multifamily News,Other,1,99.0,63,Defensive Capital Preservation,stable platform monitoring,capital market sentiment indicator,track refinancing pipeline,Strategic Watch
2026-06-02,20260602-010310-89150adf,art_4068015e196a3146,art_4068015e196a3146,Development Activity,acceptable_repeat,2026-06-01,2026-06-02,1,fresh_0_3d,current,published date parsed; article age 1 day(s),78,valid,accessible,,,"no city, state, or market keyword detected",SAGE,SAGE,SAGE,,dictionary_match,high,"Matched known institutional / GP entity in title, summary, or source text.",Apartment,acquisition; disposition / exit,Other / Unknown,Site / Parcel Source Expansion,Other,1,80.0,63,Defensive Capital Preservation,selective multifamily acquisition,pricing discovery reference,review institutional pricing signals,Strategic Watch
2026-06-02,20260602-010310-89150adf,art_66511ccae140d33b,art_66511ccae140d33b,GP / Capital Activity,acceptable_repeat,2026-06-01,2026-06-02,1,fresh_0_3d,current,published date parsed; article age 1 day(s),78,valid,accessible,,,used broad market bucket: National,Fannie Mae,Fannie Mae,Fannie Mae,,dictionary_match,high,"Matched known institutional / GP entity in title, summary, or source text.",Multifamily,refinancing,National,Core Multifamily News,Other,1,68.0,62,Defensive Capital Preservation,stable platform monitoring,capital market sentiment indicator,track refinancing pipeline,Strategic Watch
2026-06-02,20260602-010310-89150adf,art_66511ccae140d33b,art_66511ccae140d33b,GP / Capital Activity,acceptable_repeat,2026-06-01,2026-06-02,1,fresh_0_3d,current,published date parsed; article age 1 day(s),78,valid,accessible,,,used broad market bucket: National,Walker & Dunlop,Walker & Dunlop,Walker & Dunlop,Fannie Mae,dictionary_match,high,"Matched known institutional / GP entity in title, summary, or source text.",Multifamily,refinancing,National,Core Multifamily News,Other,1,68.0,62,Defensive Capital Preservation,stable platform monitoring,capital market sentiment indicator,track refinancing pipeline,Strategic Watch
2026-06-02,20260602-010310-89150adf,art_fc1311cd1f2aa0cf,art_fc1311cd1f2aa0cf,Development Activity,acceptable_repeat,2026-06-01,2026-06-02,1,fresh_0_3d,current,published date parsed; article age 1 day(s),78,valid,accessible,Atlanta,Georgia,matched city/metro keyword: Atlanta,Crescent Communities,Crescent Communities,Crescent Communities,,dictionary_match,high,"Matched known institutional / GP entity in title, summary, or source text.",BTR / Single-Family Rental,disposition / exit; BTR expansion; operational technology / AI adoption,Atlanta / Georgia,Site / Parcel Source Expansion,Other,1,76.0,61,Defensive Capital Preservation,BTR growth strategy,benchmark underwriting assumptions,track construction innovation strategy,Strategic Watch
2026-06-02,20260602-010310-89150adf,art_7ffcfcf412093268,art_7ffcfcf412093268,Development Activity,acceptable_repeat,2026-05-28,2026-06-02,5,recent_4_14d,usable_recent,published date parsed; article age 5 day(s),77,valid,accessible,Santa Monica,California,matched city/metro keyword: Santa Monica,Lincoln Property Company,Lincoln Property Company,Lincoln Property Company,,,,,Apartment,entitlement; operational technology / AI adoption,Santa Monica / California,Regional / California / LA Sources,Other,1,100.0,61,Operational Optimization,operational efficiency push,competitive pressure indicator,track construction innovation strategy,Strategic Watch
2026-06-02,20260602-010310-89150adf,art_0d5e3cef7b579bf5,art_0d5e3cef7b579bf5,GP / Capital Activity,acceptable_repeat,2026-06-01,2026-06-02,1,fresh_0_3d,current,published date parsed; article age 1 day(s),78,valid,accessible,Miami,Florida,matched city/metro keyword: Miami,Baron Property Group,Baron Property Group,Baron Property Group,,title_lead_pattern,medium,Inferred entity from headline lead segment and capital-event verb.,Mixed-Use Residential,refinancing; JV / partnership; capital raise,Miami / Florida,Core Multifamily News,Other,1,64.0,60,Defensive Capital Preservation,stable platform monitoring,potential JV partnership signal,monitor JV activity,Strategic Watch
2026-06-02,20260602-010310-89150adf,art_ae1dfe9e9a104cd2,art_ae1dfe9e9a104cd2,Market Intelligence,acceptable_repeat,2026-06-01,2026-06-02,1,fresh_0_3d,current,published date parsed; article age 1 day(s),78,valid,accessible,,,"no city, state, or market keyword detected",Essex Realty Group,Essex Realty Group,Essex Realty Group,,dictionary_match,high,"Matched known institutional / GP entity in title, summary, or source text.",Multifamily,disposition / exit,Other / Unknown,Core Multifamily News,Other,1,80.0,51,Defensive Capital Preservation,stable platform monitoring,benchmark underwriting assumptions,monitor only,Strategic Watch
