run_id,run_date,cluster_title,article_count,retained_evidence_count,confidence_label,dominant_market,dominant_financing_pattern,cluster_status,synthesis_participation,source_diversity,lender_diversity,dominant_source_share
20260704-000526-5ae56ed2,2026-07-04,Construction financing still selective,6,6,Broadly Confirmed,Miami / Florida,construction loan,expanding,,5,1,0.333
20260705-000252-290c6e5e,2026-07-05,Construction financing still selective,5,5,Broadly Confirmed,Miami / Florida,construction loan,fading,,4,1,0.4
20260706-000644-f35b7e56,2026-07-06,Construction financing still selective,8,8,Broadly Confirmed,National,construction loan,expanding,,5,1,0.375
20260707-000948-c1f40a65,2026-07-07,Construction financing still selective,2,2,Early Signal,Miami / Florida,construction loan,fading,,2,0,0.5
20260707-235900-c117bd3d,2026-07-07,Construction financing still selective,3,3,Moderate Signal,Miami / Florida,construction financing,expanding,,2,0,0.667
20260709-001033-8807486d,2026-07-09,Construction financing still selective,6,6,Broadly Confirmed,Miami / Florida,construction financing,expanding,,4,0,0.5
20260710-000650-d7384633,2026-07-10,Construction financing still selective,5,5,Broadly Confirmed,Miami / Florida,construction loan,fading,,5,1,0.2
20260710-235937-714bc49a,2026-07-10,Construction financing still selective,9,9,Broadly Confirmed,Miami / Florida,construction financing,expanding,,6,1,0.222
20260711-235545-77ac1ce4,2026-07-11,Construction financing still selective,10,10,Broadly Confirmed,Miami / Florida,construction financing,expanding,,6,1,0.2
20260712-235518-9da73cee,2026-07-12,Construction financing still selective,9,9,Broadly Confirmed,Miami / Florida,construction financing,fading,,5,1,0.222
20260713-235520-9dd8478a,2026-07-13,Construction financing still selective,6,6,Broadly Confirmed,Miami / Florida,construction loan,fading,,5,1,0.333
20260714-235420-7185f37b,2026-07-14,Construction financing still selective,9,9,Broadly Confirmed,Miami / Florida,construction loan,expanding,,5,1,0.333
20260715-235936-5ac8e905,2026-07-15,Construction financing still selective,8,8,Broadly Confirmed,Miami / Florida,construction loan,fading,,5,1,0.375
20260519-021700-3e3a74df,2026-05-19,Institutional recap over expansion,2,2,Early Signal,New York,refinancing,newly emerging,,2,1,0.5
20260520-040606-6613d3b9,2026-05-20,Institutional recap over expansion,4,4,Moderate Signal,New York,refinancing,expanding,,4,1,0.25
20260520-051844-b14f8dba,2026-05-20,Institutional recap over expansion,4,4,Moderate Signal,New York,refinancing,stable,,4,1,0.25
20260520-230154-ca46e1ee,2026-05-20,Institutional recap over expansion,2,2,Early Signal,Sun Belt,refinancing,fading,,2,0,0.5
20260521-230148-97d5f8bd,2026-05-21,Institutional recap over expansion,2,2,Early Signal,Sun Belt,refinancing,stable,,2,1,0.5
20260522-230155-fb3b56b2,2026-05-22,Institutional recap over expansion,2,2,Early Signal,New York,refinancing,stable,,2,0,0.5
20260523-230152-45df883f,2026-05-23,Institutional recap over expansion,2,2,Early Signal,New York,refinancing,stable,,2,0,0.5
20260524-230204-750df6c3,2026-05-24,Institutional recap over expansion,2,2,Early Signal,New York,refinancing,stable,,2,0,0.5
20260525-230212-45b2fe12,2026-05-25,Institutional recap over expansion,2,2,Early Signal,New York,refinancing,stable,,2,0,0.5
20260526-060516-8f6cea4b,2026-05-26,Institutional recap over expansion,2,2,Early Signal,New York,refinancing,stable,,2,0,0.5
20260526-081038-35a22dfb,2026-05-26,Institutional recap over expansion,2,2,Early Signal,New York,refinancing,stable,,2,0,0.5
20260526-230211-c37354de,2026-05-26,Institutional recap over expansion,2,2,Early Signal,New York,refinancing,stable,,2,0,0.5
20260527-013618-38446781,2026-05-27,Institutional recap over expansion,2,2,Early Signal,New York,refinancing,stable,,2,0,0.5
20260527-230207-4be4208e,2026-05-27,Institutional recap over expansion,4,4,Moderate Signal,Sun Belt,refinancing,expanding,,3,0,0.5
20260528-230155-27f9735b,2026-05-28,Institutional recap over expansion,6,6,Broadly Confirmed,California,refinancing,expanding,,5,1,0.333
20260529-230138-14a22af3,2026-05-29,Institutional recap over expansion,3,3,Moderate Signal,National,refinancing,fading,,3,1,0.333
20260530-230208-ccf8785d,2026-05-30,Institutional recap over expansion,3,3,Moderate Signal,National,refinancing,stable,,3,1,0.333
20260531-230156-2ca508a0,2026-05-31,Institutional recap over expansion,3,3,Moderate Signal,California,refinancing,stable,,3,0,0.333
20260601-003555-0e25506b,2026-06-01,Institutional recap over expansion,3,3,Moderate Signal,California,refinancing,stable,,3,0,0.333
20260601-012139-c701e5e3,2026-06-01,Institutional recap over expansion,3,3,Moderate Signal,California,refinancing,stable,,3,0,0.333
20260601-020308-c84a5578,2026-06-01,Institutional recap over expansion,3,3,Moderate Signal,California,refinancing,stable,,3,0,0.333
20260601-023138-a39ed519,2026-06-01,Institutional recap over expansion,3,3,Moderate Signal,California,refinancing,stable,,3,0,0.333
20260601-054634-41ca5227,2026-06-01,Institutional recap over expansion,3,3,Moderate Signal,California,refinancing,stable,,3,0,0.333
20260601-064806-993581e0,2026-06-01,Institutional recap over expansion,3,3,Moderate Signal,California,refinancing,stable,,3,1,0.333
20260601-072833-c2587107,2026-06-01,Institutional recap over expansion,4,4,Moderate Signal,California,refinancing,expanding,,4,1,0.25
20260601-230146-450c13c8,2026-06-01,Institutional recap over expansion,5,5,Broadly Confirmed,California,refinancing,expanding,,4,1,0.4
