run_date,run_id,check_name,component,status,details,recommended_fix
2026-05-20,20260520-230154-ca46e1ee,expected_columns_historical_memory.csv,historical_memory.csv,OK,Expected columns present.,Check the output fieldnames for this generator.
2026-05-20,20260520-230154-ca46e1ee,file_exists_capital_flow_memory.csv,capital_flow_memory.csv,OK,capital_flow_memory.csv exists.,No action needed.
2026-05-20,20260520-230154-ca46e1ee,csv_readable_capital_flow_memory.csv,capital_flow_memory.csv,OK,107 rows read.,No action needed.
2026-05-20,20260520-230154-ca46e1ee,expected_columns_capital_flow_memory.csv,capital_flow_memory.csv,OK,Expected columns present.,Check the output fieldnames for this generator.
2026-05-20,20260520-230154-ca46e1ee,file_exists_relationship_persistence.csv,relationship_persistence.csv,OK,relationship_persistence.csv exists.,No action needed.
2026-05-20,20260520-230154-ca46e1ee,csv_readable_relationship_persistence.csv,relationship_persistence.csv,OK,140 rows read.,No action needed.
2026-05-20,20260520-230154-ca46e1ee,expected_columns_relationship_persistence.csv,relationship_persistence.csv,OK,Expected columns present.,Check the output fieldnames for this generator.
2026-05-20,20260520-230154-ca46e1ee,file_exists_pipeline_manifest.csv,pipeline_manifest.csv,OK,pipeline_manifest.csv exists.,No action needed.
2026-05-20,20260520-230154-ca46e1ee,csv_readable_pipeline_manifest.csv,pipeline_manifest.csv,OK,60 rows read.,No action needed.
2026-05-20,20260520-230154-ca46e1ee,expected_columns_pipeline_manifest.csv,pipeline_manifest.csv,OK,Expected columns present.,Check the output fieldnames for this generator.
2026-05-20,20260520-230154-ca46e1ee,file_exists_pipeline_manifest.md,pipeline_manifest.md,OK,pipeline_manifest.md exists.,No action needed.
2026-05-20,20260520-230154-ca46e1ee,self_generated_pipeline_health.csv,pipeline_health.csv,Not Checked,This maintenance file is generated after the health check starts.,Open the file after the run completes to confirm it was written.
2026-05-20,20260520-230154-ca46e1ee,self_generated_pipeline_health_report.md,pipeline_health_report.md,Not Checked,This maintenance file is generated after the health check starts.,Open the file after the run completes to confirm it was written.
2026-05-20,20260520-230154-ca46e1ee,self_generated_error_log.csv,error_log.csv,Not Checked,This maintenance file is generated after the health check starts.,Open the file after the run completes to confirm it was written.
2026-05-20,20260520-230154-ca46e1ee,self_generated_run_summary.md,run_summary.md,Not Checked,This maintenance file is generated after the health check starts.,Open the file after the run completes to confirm it was written.
2026-05-20,20260520-230154-ca46e1ee,important_output_generated_dashboard_summary.csv,dashboard_summary.csv,OK,dashboard_summary.csv generated: True,Rerun the pipeline and check the dashboard or signal-quality layer.
2026-05-20,20260520-230154-ca46e1ee,important_output_generated_dashboard_cards.csv,dashboard_cards.csv,OK,dashboard_cards.csv generated: True,Rerun the pipeline and check the dashboard or signal-quality layer.
2026-05-20,20260520-230154-ca46e1ee,important_output_generated_dashboard_watchlists.csv,dashboard_watchlists.csv,OK,dashboard_watchlists.csv generated: True,Rerun the pipeline and check the dashboard or signal-quality layer.
2026-05-20,20260520-230154-ca46e1ee,important_output_generated_high_confidence_watchlist.csv,high_confidence_watchlist.csv,OK,high_confidence_watchlist.csv generated: True,Rerun the pipeline and check the dashboard or signal-quality layer.
