run_date,run_id,signal_name,signal_category,market,normalized_signal_key,source_count_today,article_count_today,article_count_7d,article_count_30d,source_count_7d,source_count_30d,first_seen_date,last_seen_date,days_observed_7d,days_observed_30d,persistence_score,momentum_score,freshness_score,diversity_score,memory_status,memory_reason
2026-06-02,20260602-040308-43dadaf3,Developer Strategy,gp_activity,Las Vegas / Nevada,gp_activity_developer_strategy_las_vegas_nevada,1,1,2,2,1,1,2026-06-01,2026-06-02,2,2,28,65,100,25,Strengthening Signal,최근 7일 기사 수가 이전 7일 대비 증가했습니다. 총 2건이 최근 7일에 관찰되었습니다.
2026-06-02,20260602-040308-43dadaf3,Developer Strategy,gp_activity,Atlanta / Georgia,gp_activity_developer_strategy_atlanta_georgia,1,1,2,2,1,1,2026-06-01,2026-06-02,2,2,28,65,100,25,Strengthening Signal,최근 7일 기사 수가 이전 7일 대비 증가했습니다. 총 2건이 최근 7일에 관찰되었습니다.
2026-06-02,20260602-040308-43dadaf3,Development Strategy,gp_activity,Miami / Florida,gp_activity_development_strategy_miami_florida,1,1,2,2,1,1,2026-06-01,2026-06-02,2,2,28,65,100,25,Strengthening Signal,최근 7일 기사 수가 이전 7일 대비 증가했습니다. 총 2건이 최근 7일에 관찰되었습니다.
2026-06-02,20260602-040308-43dadaf3,acquisition,transaction_market,Houston / Texas,transaction_market_acquisition_houston_texas,1,1,2,2,1,1,2026-06-01,2026-06-02,2,2,28,65,100,25,Strengthening Signal,최근 7일 기사 수가 이전 7일 대비 증가했습니다. 총 2건이 최근 7일에 관찰되었습니다.
2026-06-02,20260602-040308-43dadaf3,acquisition,transaction_market,Phoenix / Arizona,transaction_market_acquisition_phoenix_arizona,1,1,2,2,1,1,2026-06-01,2026-06-02,2,2,28,65,100,25,Strengthening Signal,최근 7일 기사 수가 이전 7일 대비 증가했습니다. 총 2건이 최근 7일에 관찰되었습니다.
2026-06-02,20260602-040308-43dadaf3,acquisition,transaction_market,Atlanta / Georgia,transaction_market_acquisition_atlanta_georgia,1,1,2,2,1,1,2026-06-01,2026-06-02,2,2,28,65,100,25,Strengthening Signal,최근 7일 기사 수가 이전 7일 대비 증가했습니다. 총 2건이 최근 7일에 관찰되었습니다.
2026-06-02,20260602-040308-43dadaf3,acquisition,development_pipeline,Miami / Florida,development_pipeline_acquisition_miami_florida,1,1,2,2,1,1,2026-06-01,2026-06-02,2,2,28,65,100,25,Strengthening Signal,최근 7일 기사 수가 이전 7일 대비 증가했습니다. 총 2건이 최근 7일에 관찰되었습니다.
2026-06-02,20260602-040308-43dadaf3,adaptive_reuse,development_pipeline,Los Angeles / California,development_pipeline_adaptive_reuse_los_angeles_california,1,1,2,2,1,1,2026-06-01,2026-06-02,2,2,28,65,100,25,Strengthening Signal,최근 7일 기사 수가 이전 7일 대비 증가했습니다. 총 2건이 최근 7일에 관찰되었습니다.
2026-06-02,20260602-040308-43dadaf3,bridge_loan,capital_markets,Miami / Florida,capital_markets_bridge_loan_miami_florida,1,1,2,2,1,1,2026-06-01,2026-06-02,2,2,28,65,100,25,Strengthening Signal,최근 7일 기사 수가 이전 7일 대비 증가했습니다. 총 2건이 최근 7일에 관찰되었습니다.
2026-06-02,20260602-040308-43dadaf3,construction_financing,capital_markets,Miami / Florida,capital_markets_construction_financing_miami_florida,1,1,2,2,1,1,2026-06-01,2026-06-02,2,2,28,65,100,25,Strengthening Signal,최근 7일 기사 수가 이전 7일 대비 증가했습니다. 총 2건이 최근 7일에 관찰되었습니다.
2026-06-02,20260602-040308-43dadaf3,construction_financing,capital_markets,Other / Unknown,capital_markets_construction_financing_other_unknown,1,1,2,2,1,1,2026-06-01,2026-06-02,2,2,28,65,100,25,Strengthening Signal,최근 7일 기사 수가 이전 7일 대비 증가했습니다. 총 2건이 최근 7일에 관찰되었습니다.
2026-06-02,20260602-040308-43dadaf3,construction_start,development_pipeline,Sun Belt,development_pipeline_construction_start_sun_belt,0,0,2,2,1,1,2026-05-30,2026-05-31,2,2,28,65,72,25,Strengthening Signal,최근 7일 기사 수가 이전 7일 대비 증가했습니다. 총 2건이 최근 7일에 관찰되었습니다.
2026-06-02,20260602-040308-43dadaf3,construction_start,development_pipeline,Other / Unknown,development_pipeline_construction_start_other_unknown,0,0,2,2,1,1,2026-05-30,2026-05-31,2,2,28,65,72,25,Strengthening Signal,최근 7일 기사 수가 이전 7일 대비 증가했습니다. 총 2건이 최근 7일에 관찰되었습니다.
2026-06-02,20260602-040308-43dadaf3,construction_start,development_pipeline,Los Angeles / California,development_pipeline_construction_start_los_angeles_california,1,1,2,2,1,1,2026-06-01,2026-06-02,2,2,28,65,100,25,Strengthening Signal,최근 7일 기사 수가 이전 7일 대비 증가했습니다. 총 2건이 최근 7일에 관찰되었습니다.
