run_id,run_date,cluster_title,article_count,retained_evidence_count,confidence_label,dominant_market,dominant_financing_pattern,cluster_status,synthesis_participation,source_diversity,lender_diversity,dominant_source_share
20260530-230208-ccf8785d,2026-05-30,LA entitlement precedent accumulation,11,11,Moderate Signal,Los Angeles,,expanding,,5,0,0.636
20260531-230156-2ca508a0,2026-05-31,LA entitlement precedent accumulation,9,9,Moderate Signal,Los Angeles,,fading,,4,0,0.667
20260601-003555-0e25506b,2026-06-01,LA entitlement precedent accumulation,9,9,Moderate Signal,Los Angeles,,stable,,4,0,0.667
20260601-012139-c701e5e3,2026-06-01,LA entitlement precedent accumulation,9,9,Moderate Signal,Los Angeles,,stable,,4,0,0.667
20260601-020308-c84a5578,2026-06-01,LA entitlement precedent accumulation,9,9,Moderate Signal,Los Angeles,,stable,,4,0,0.667
20260601-023138-a39ed519,2026-06-01,LA entitlement precedent accumulation,9,9,Moderate Signal,Los Angeles,,stable,,4,0,0.667
20260601-054634-41ca5227,2026-06-01,LA entitlement precedent accumulation,10,10,Moderate Signal,Los Angeles,,expanding,,5,0,0.6
20260601-064806-993581e0,2026-06-01,LA entitlement precedent accumulation,10,10,Moderate Signal,Los Angeles / California,,stable,,5,0,0.6
20260601-072833-c2587107,2026-06-01,LA entitlement precedent accumulation,10,10,Moderate Signal,Los Angeles / California,,stable,,5,0,0.6
20260519-021700-3e3a74df,2026-05-19,Refinancing pressure unresolved,5,5,Broadly Confirmed,New York,bridge loan,newly emerging,,4,3,0.4
20260520-040606-6613d3b9,2026-05-20,Refinancing pressure unresolved,7,7,Broadly Confirmed,New York,refinancing,expanding,,6,3,0.286
20260520-051844-b14f8dba,2026-05-20,Refinancing pressure unresolved,7,7,Broadly Confirmed,New York,refinancing,stable,,6,3,0.286
20260520-230154-ca46e1ee,2026-05-20,Refinancing pressure unresolved,5,5,Broadly Confirmed,Sun Belt,bridge loan,fading,,4,3,0.4
20260521-230148-97d5f8bd,2026-05-21,Refinancing pressure unresolved,5,5,Broadly Confirmed,Sun Belt,bridge loan,stable,,4,4,0.4
20260522-230155-fb3b56b2,2026-05-22,Refinancing pressure unresolved,5,5,Broadly Confirmed,Sun Belt,bridge loan,stable,,4,3,0.4
20260523-230152-45df883f,2026-05-23,Refinancing pressure unresolved,5,5,Broadly Confirmed,Sun Belt,bridge loan,stable,,4,3,0.4
20260524-230204-750df6c3,2026-05-24,Refinancing pressure unresolved,5,5,Broadly Confirmed,Sun Belt,bridge loan,stable,,4,3,0.4
20260525-230212-45b2fe12,2026-05-25,Refinancing pressure unresolved,5,5,Broadly Confirmed,Sun Belt,bridge loan,stable,,4,3,0.4
20260526-060516-8f6cea4b,2026-05-26,Refinancing pressure unresolved,5,5,Broadly Confirmed,Sun Belt,bridge loan,stable,,4,3,0.4
20260526-081038-35a22dfb,2026-05-26,Refinancing pressure unresolved,5,5,Broadly Confirmed,Sun Belt,bridge loan,stable,,4,3,0.4
20260526-230211-c37354de,2026-05-26,Refinancing pressure unresolved,5,5,Broadly Confirmed,California,bridge loan,stable,,5,3,0.2
20260527-013618-38446781,2026-05-27,Refinancing pressure unresolved,5,5,Broadly Confirmed,California,bridge loan,stable,,5,3,0.2
20260527-230207-4be4208e,2026-05-27,Refinancing pressure unresolved,7,7,Broadly Confirmed,California,refinancing,expanding,,5,3,0.429
20260528-230155-27f9735b,2026-05-28,Refinancing pressure unresolved,8,8,Broadly Confirmed,California,refinancing,expanding,,7,3,0.25
20260529-230138-14a22af3,2026-05-29,Refinancing pressure unresolved,4,4,Moderate Signal,National,refinancing,fading,,4,2,0.25
20260530-230208-ccf8785d,2026-05-30,Refinancing pressure unresolved,5,5,Broadly Confirmed,National,bridge loan,expanding,,4,2,0.4
20260531-230156-2ca508a0,2026-05-31,Refinancing pressure unresolved,5,5,Broadly Confirmed,Florida,bridge loan,stable,,4,2,0.4
20260601-003555-0e25506b,2026-06-01,Refinancing pressure unresolved,5,5,Broadly Confirmed,Florida,bridge loan,stable,,4,2,0.4
