run_date,run_id,signal_name,signal_category,market,normalized_signal_key,source_count_today,article_count_today,article_count_7d,article_count_30d,source_count_7d,source_count_30d,first_seen_date,last_seen_date,days_observed_7d,days_observed_30d,persistence_score,momentum_score,freshness_score,diversity_score,memory_status,memory_reason
2026-06-09,20260609-105010-d9b80e3f,disposition,transaction_market,Other / Unknown,transaction_market_disposition_other_unknown,0,0,3,8,1,2,2026-05-27,2026-06-07,3,6,88,34,72,50,Persistent Signal,최근 30일 중 6일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-06-09,20260609-105010-d9b80e3f,construction_financing,capital_markets,Other / Unknown,capital_markets_construction_financing_other_unknown,1,1,5,7,2,2,2026-06-01,2026-06-09,4,6,86,90,100,50,Persistent Signal,최근 30일 중 6일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-06-09,20260609-105010-d9b80e3f,joint_venture,institutional_capital,Texas,institutional_capital_joint_venture_texas,1,1,6,7,2,3,2026-05-28,2026-06-09,5,6,86,90,100,75,Persistent Signal,최근 30일 중 6일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-06-09,20260609-105010-d9b80e3f,construction_financing,capital_markets,Phoenix / Arizona,capital_markets_construction_financing_phoenix_arizona,1,1,7,7,3,3,2026-06-04,2026-06-09,6,6,86,65,100,75,Persistent Signal,최근 30일 중 6일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-06-09,20260609-105010-d9b80e3f,construction_start,development_pipeline,California,development_pipeline_construction_start_california,1,1,7,7,1,1,2026-06-04,2026-06-09,6,6,86,65,100,25,Persistent Signal,최근 30일 중 6일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-06-09,20260609-105010-d9b80e3f,acquisition,transaction_market,Houston / Texas,transaction_market_acquisition_houston_texas,0,0,4,6,2,2,2026-06-01,2026-06-07,4,6,84,90,72,50,Persistent Signal,최근 30일 중 6일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-06-09,20260609-105010-d9b80e3f,Development Strategy,gp_activity,New York City / New York,gp_activity_development_strategy_new_york_city_new_york,1,1,6,6,1,1,2026-06-04,2026-06-09,6,6,84,65,100,25,Persistent Signal,최근 30일 중 6일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-06-09,20260609-105010-d9b80e3f,Supply / Starts Signal,other,Los Angeles / California,other_supply_starts_signal_los_angeles_california,1,1,6,6,1,1,2026-06-04,2026-06-09,6,6,84,65,100,25,Persistent Signal,최근 30일 중 6일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-06-09,20260609-105010-d9b80e3f,construction_financing,capital_markets,Los Angeles / California,capital_markets_construction_financing_los_angeles_california,1,1,6,6,3,3,2026-06-04,2026-06-09,6,6,84,65,100,75,Persistent Signal,최근 30일 중 6일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-06-09,20260609-105010-d9b80e3f,refinancing,capital_markets,Florida,capital_markets_refinancing_florida,0,0,3,6,1,2,2026-05-29,2026-06-07,3,6,84,50,72,50,Persistent Signal,최근 30일 중 6일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-06-09,20260609-105010-d9b80e3f,Supply & Demand,gp_activity,Sun Belt,gp_activity_supply_demand_sun_belt,0,0,2,6,1,2,2026-05-27,2026-06-06,2,6,84,30,58,50,Persistent Signal,최근 30일 중 6일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-06-09,20260609-105010-d9b80e3f,refinancing,capital_markets,California,capital_markets_refinancing_california,2,2,4,10,2,6,2026-05-27,2026-06-09,2,5,80,37,100,100,Persistent Signal,최근 30일 중 5일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-06-09,20260609-105010-d9b80e3f,stabilization,development_pipeline,Other / Unknown,development_pipeline_stabilization_other_unknown,1,1,3,5,2,2,2026-06-01,2026-06-09,3,5,70,70,100,50,Persistent Signal,최근 30일 중 5일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-06-09,20260609-105010-d9b80e3f,Development Strategy,other,New York City / New York,other_development_strategy_new_york_city_new_york,1,1,5,5,1,1,2026-06-05,2026-06-09,5,5,70,65,100,25,Persistent Signal,최근 30일 중 5일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-06-09,20260609-105010-d9b80e3f,Development Strategy,gp_activity,Phoenix / Arizona,gp_activity_development_strategy_phoenix_arizona,1,1,5,5,2,2,2026-06-05,2026-06-09,5,5,70,65,100,50,Persistent Signal,최근 30일 중 5일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-06-09,20260609-105010-d9b80e3f,acquisition,development_pipeline,Phoenix / Arizona,development_pipeline_acquisition_phoenix_arizona,1,1,5,5,2,2,2026-06-05,2026-06-09,5,5,70,65,100,50,Persistent Signal,최근 30일 중 5일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-06-09,20260609-105010-d9b80e3f,refinancing,capital_markets,New York City / New York,capital_markets_refinancing_new_york_city_new_york,1,1,5,5,2,2,2026-06-05,2026-06-09,5,5,70,65,100,50,Persistent Signal,최근 30일 중 5일 관찰되었습니다. 다만 기사 기반 반복 관찰이므로 직접 투자 결론은 아닙니다.
2026-06-09,20260609-105010-d9b80e3f,lender_activity,institutional_capital,Los Angeles / California,institutional_capital_lender_activity_los_angeles_california,0,0,7,7,2,2,2026-06-04,2026-06-07,4,4,62,65,72,50,Strengthening Signal,최근 7일 기사 수가 이전 7일 대비 증가했습니다. 총 7건이 최근 7일에 관찰되었습니다.
2026-06-09,20260609-105010-d9b80e3f,Development Strategy,other,San Francisco / California,other_development_strategy_san_francisco_california,1,2,6,6,1,1,2026-06-06,2026-06-09,4,4,60,65,100,25,Strengthening Signal,최근 7일 기사 수가 이전 7일 대비 증가했습니다. 총 6건이 최근 7일에 관찰되었습니다.
2026-06-09,20260609-105010-d9b80e3f,Supply & Demand,gp_activity,Other / Unknown,gp_activity_supply_demand_other_unknown,1,1,3,4,2,3,2026-05-31,2026-06-09,3,4,56,90,100,75,Strengthening Signal,최근 7일 기사 수가 이전 7일 대비 증가했습니다. 총 3건이 최근 7일에 관찰되었습니다.
2026-06-09,20260609-105010-d9b80e3f,Development Strategy,gp_activity,Dallas / Texas,gp_activity_development_strategy_dallas_texas,0,0,4,4,1,1,2026-06-04,2026-06-07,4,4,56,65,72,25,Strengthening Signal,최근 7일 기사 수가 이전 7일 대비 증가했습니다. 총 4건이 최근 7일에 관찰되었습니다.
2026-06-09,20260609-105010-d9b80e3f,Rent Growth Signal,other,Los Angeles / California,other_rent_growth_signal_los_angeles_california,1,1,4,4,1,1,2026-06-06,2026-06-09,4,4,56,65,100,25,Strengthening Signal,최근 7일 기사 수가 이전 7일 대비 증가했습니다. 총 4건이 최근 7일에 관찰되었습니다.
2026-06-09,20260609-105010-d9b80e3f,Supply / Starts Signal,other,New York,other_supply_starts_signal_new_york,0,0,4,4,1,1,2026-06-04,2026-06-07,4,4,56,65,72,25,Strengthening Signal,최근 7일 기사 수가 이전 7일 대비 증가했습니다. 총 4건이 최근 7일에 관찰되었습니다.
2026-06-09,20260609-105010-d9b80e3f,Supply / Starts Signal,gp_activity,National,gp_activity_supply_starts_signal_national,0,0,4,4,2,2,2026-06-05,2026-06-08,4,4,56,65,86,50,Strengthening Signal,최근 7일 기사 수가 이전 7일 대비 증가했습니다. 총 4건이 최근 7일에 관찰되었습니다.
2026-06-09,20260609-105010-d9b80e3f,entitlement,development_pipeline,Other / Unknown,development_pipeline_entitlement_other_unknown,0,0,4,4,2,2,2026-06-04,2026-06-07,4,4,56,65,72,50,Strengthening Signal,최근 7일 기사 수가 이전 7일 대비 증가했습니다. 총 4건이 최근 7일에 관찰되었습니다.
